"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"603",725,"Argentina",1,NA,NA,NA,11.198,16.177,0.002833333,18933.907,NA,NA,58.6,0.57,"ARG","South America",28.3,0
"6490",6614,"Estonia",1,NA,NA,NA,19.452,31.033,NA,29481.252,NA,NA,57,1.21,"EST","Europe",21.2,0
"11175",11294,"Latvia",1,NA,NA,NA,19.754,31.212,NA,25063.846,NA,NA,62.9,0.81,"LVA","Europe",23.6,0
"12962",13014,"Mexico",1,NA,NA,NA,6.857,66.444,0.001666667,17336.469,NA,NA,57.6,-0.01,"MEX","North America",28.9,0
"20338",20351,"Thailand",1,NA,NA,NA,11.373,135.132,0,16277.671,NA,NA,73.2,-1.01,"THA","Asia",10,0
"604",655,"Argentina",2,NA,NA,NA,11.198,16.177,0.007428571,18933.907,NA,NA,58.6,0.57,"ARG","South America",28.3,0
"12963",13084,"Mexico",2,NA,NA,NA,6.857,66.444,0.008857143,17336.469,NA,NA,57.6,-0.01,"MEX","North America",28.9,0
"20339",20495,"Thailand",2,NA,NA,NA,11.373,135.132,0.000666667,16277.671,NA,NA,73.2,-1.01,"THA","Asia",10,0
"605",693,"Argentina",3,NA,NA,NA,11.198,16.177,0.011,18933.907,NA,NA,58.6,0.57,"ARG","South America",28.3,0
"6491",6543,"Estonia",3,NA,NA,NA,19.452,31.033,NA,29481.252,NA,NA,57,1.21,"EST","Europe",21.2,0
"11176",11268,"Latvia",3,NA,NA,NA,19.754,31.212,NA,25063.846,NA,NA,62.9,0.81,"LVA","Europe",23.6,0
"12964",13012,"Mexico",3,NA,NA,NA,6.857,66.444,0.018857143,17336.469,NA,NA,57.6,-0.01,"MEX","North America",28.9,0
"19890",19983,"Taiwan",3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.98,"TWN","Asia",NA,0
"20340",20393,"Thailand",3,NA,NA,NA,11.373,135.132,0.001428571,16277.671,NA,NA,73.2,-1.01,"THA","Asia",10,0
"606",663,"Argentina",4,NA,NA,NA,11.198,16.177,0.012,18933.907,NA,9.258333333,58.6,0.57,"ARG","South America",28.3,0
"917",1051,"Australia",4,NA,0.172,2.5,15.504,3.202,NA,44648.71,NA,5.56,75.5,1.43,"AUS","Oceania",20.1,0
"3173",3272,"Cambodia",4,NA,0.06,1,4.412,90.672,NA,3645.07,NA,0,39.2,-1.22," "," ",3.9,0
"3479",3582,"Canada",4,NA,0.0728,0.6,16.984,4.037,NA,44017.591,NA,2.78,75.3,1.52,"CAN","North America",29.4,0
"4084",4140,"China",4,0.028908789,0.984833333,463.2,10.641,147.674,NA,15308.712,NA,50.62,48.2,-1.45,"CHN","Asia",6.2,0
"6950",7018,"France",4,NA,0.04025,0.75,19.718,122.578,NA,38605.671,NA,5.56,68.2,1.18,"FRA","Europe",21.6,0
"7554",7648,"Germany",4,NA,0.012,1,21.453,237.016,NA,45229.245,NA,5.56,66,1.42,"DEU","Europe",22.3,0
"10123",10223,"Japan",4,NA,0.021333333,0.4,27.049,347.778,NA,39002.223,NA,2.78,59.8,1.02,"JPN","Asia",4.3,0
"12362",12392,"Malaysia",4,NA,0.118,1.333333333,6.293,96.254,0.0005,26808.164,NA,11.11,62.2,-0.08,"MYS","Asia",15.6,0
"12965",12967,"Mexico",4,NA,NA,NA,6.857,66.444,0.031142857,17336.469,NA,0,57.6,-0.01,"MEX","North America",28.9,0
"14018",14120,"Nepal",4,NA,0.033,0.333333333,5.809,204.43,NA,2442.804,NA,8.33,20.8,-0.13," "," ",4.1,0
"17910",18017,"Singapore",4,NA,0.5676,1,12.922,7915.731,NA,85535.383,NA,25,58.7,-0.06,"SGP","Asia",6.1,0
"18674",18779,"South Korea",4,NA,0.041833333,0.6,13.914,527.967,NA,35938.374,NA,0,70.2,-2.2,"KOR","Asia",4.7,0
"19131",19234,"Sri Lanka",4,NA,0.046,1,10.069,341.955,NA,11669.077,NA,2.78,33.9,0.01,"LKA","Asia",5.2,0
"19891",19994,"Taiwan",4,NA,0.118666667,0.8,NA,NA,0.009857143,NA,NA,18.515,NA,0.98,"TWN","Asia",NA,0
"20341",20444,"Thailand",4,NA,0.081666667,0.8,11.373,135.132,0.003714286,16277.671,NA,0,73.2,-1.01,"THA","Asia",10,0
"21851",21915,"United States",4,NA,0.008,0.8,15.413,35.608,NA,54225.446,NA,0,83.5,1.04,"USA","North America",36.2,0
"22454",22517,"Vietnam",4,NA,0.02,0.4,7.15,308.127,NA,6171.884,NA,1.668,49.1,-1.45," "," ",2.1,0
"607",618,"Argentina",5,NA,NA,NA,11.198,16.177,0.013166667,18933.907,NA,11.11,58.6,0.57,"ARG","South America",28.3,0
"762",784,"Armenia",5,NA,NA,NA,11.232,102.931,0.002,8787.58,NA,NA,50.2,-0.11,"ARM","Asia",20.2,0
